Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_070;2014;MEXICO;121.48;399.04;1676.18;2464.8;1305;2297.39;167.41;83.86;1.44;1.85;3.44;13.42;0.87;16.19;6.79;2.95;12.43;13;BB-
Id_071;2014;MEXICO;1895.3;3473.03;12131.61;19662.66;11272.25;17607.49;2055.17;878.58;3.13;1.69;4.87;11.99;1.3;17.66;10.45;4.45;13.3;8;BBB+
Id_072;2014;MEXICO;79.29;353.58;1038.52;1710.01;727;1562.17;147.85;53.68;1.37;0.55;3.32;6.81;0.5;20.68;8.65;2.57;17.1;13;BB-
Id_073;2014;MEXICO;1097.16;1863.16;546.27;3499.46;992.25;3151.65;347.81;25.82;0.11;0.78;0.84;11.36;1.01;53.24;9.94;5.86;15.95;11;BB+
Id_076;2014;PANAMA;205.4;1603.8;8725.8;13232.9;9626.4;11698.4;1534.5;425.2;1.58;0.35;3.4;20.95;2.51;12.12;11.6;1.79;17.66;9;BBB
Id_077;2014;PANAMA;571.6;3495;11544.4;17077;11371.4;15121.5;1955.5;899.8;0.35;4.22;4.96;11.66;1.25;20.47;11.45;4.64;13.06;10;BBB-
Id_078;2014;PANAMA;0.97;318.92;1418.96;1838.82;874.5;1648.2;190.62;42.48;2.7;0.07;2.43;11.08;1.21;17.34;10.37;1.83;11.86;11;BB+
Id_079;2014;PANAMA;123;1231.5;6271.3;8312.2;6103.5;7581.6;730.6;255.1;2.53;0.66;3.12;10.98;0.93;14.82;10.56;2.3;13.6;9;BBB
Id_080;2014;PANAMA;24.8;387.4;2442.9;3619.2;2360.4;3354;265.2;126.6;1.81;0.44;3.77;16.89;1.28;10.7;10.06;2.5;15.73;11;BB+
Id_081;2014;PANAMA;348.5;4143.4;3121;9319.3;8393.6;8662.7;656.6;184.4;1.31;0;2.05;16.15;1.16;44.46;7.05;1.33;7.05;9;BBB
Id_083;2014;PARAGUAY;155.95;263.11;235.02;516.18;445.87;452.35;63.83;8.14;2;1.7;3.37;18.31;2.22;50.97;12.37;4.13;12.37;14;B+
Id_085;2014;PARAGUAY;431.57;399.64;2051.07;2963.95;2102.82;2782.32;181.63;104.72;1.78;1.08;3.77;15.33;1.02;13.48;7.95;2.81;7.95;13;BB-
Id_086;2014;PARAGUAY;532.84;695.3;2288.21;3493.04;3093.76;3141.13;351.9;124.81;0.93;1.05;3.92;23.73;2.41;19.91;10.07;2.48;12.38;13;BB-
Id_089;2014;PERU;6153.2;8973.94;25947.4;38743.89;27985.7;35413.17;3330.72;1983.48;2.59;2.51;5.54;20.94;1.76;23.16;8.6;3.83;14.45;8;BBB+
Id_090;2014;PERU;3541.71;3666.83;11017.29;15742.14;12198.43;13850.65;1891.49;895.38;2.87;2.45;5.9;18.13;2.09;23.29;12.02;3.23;13.77;8;BBB+
Id_091;2014;PERU;4711.59;5157.89;14750.22;21066.23;13459.93;19197.55;1868.68;900.4;2.22;1.22;4.5;26.81;2.26;24.48;8.87;2.44;13.78;7;A-
Id_092;2014;PERU;2033.07;2142.78;7351.32;10959.83;7082.28;9922.98;1036.85;705.09;2.46;2.13;6.74;25.51;2.27;19.55;9.46;4;15.16;9;BBB
Id_093;2014;PERU;688.94;168.31;2285.26;3087.34;2131.12;2845.36;241.98;146.57;1.63;1.84;5.19;13.79;1.12;5.45;7.84;3.11;13.37;10;BBB-
Id_097;2014;URUGUAY;1015.05;1950.72;1779.67;3963.63;3455.06;3631.61;332.03;140.42;0.29;0.65;3.81;19.73;1.67;49.22;8.38;4.81;8.38;9;BBB
Id_098;2014;URUGUAY;98.84;152.82;1614.48;1699.87;777.47;954.6;745.27;177.27;2.25;-2.45;11.42;7.37;3.27;8.99;43.84;9.91;43.84;9;BBB
Id_100;2014;URUGUAY;3909.04;6938.29;5670.33;15019.42;13398.29;13761.88;1257.54;656.49;2.25;1.76;4.76;14.16;1.22;46.2;8.37;4.76;8.37;9;BBB
Id_124;2014;URUGUAY;90.93;221.29;158.77;407.17;346.28;362.52;44.65;14.83;0.47;-0.11;3.75;4.35;0.41;54.35;10.97;7.72;10.97;16;B-
Id_101;2014;URUGUAY;1378.43;2371.92;2564.87;5326.29;4548.84;4945.9;380.4;211.15;0.35;0.79;4.23;3.92;0.28;44.53;7.14;4.47;7.14;10;BBB-
Id_001;2014;PANAMA;40.9;427.5;3524;4480.2;2874.3;4110.5;369.7;116.3;1.27;0.23;2.81;19.72;1.61;9.54;8.25;1.84;14.05;10;BBB-
Id_128;2013;ARGENTINA;45.32;47.3;120.69;204.65;111.43;193.22;11.43;8.61;4.05;3.24;4.89;13.13;0.68;23.11;5.58;9.28;5.58;17;CCC+
Id_002;2013;ARGENTINA;954.28;854.23;3456.35;5039.5;2858.86;4234.94;804.55;373.53;1.61;0.52;8.24;37.64;5.62;16.95;15.96;7.87;15.96;17;CCC+
Id_129;2013;BOLIVIA;17.77;57.58;558.84;732.43;599.15;653.94;78.49;63.07;0.89;0.67;9.06;15.22;1.64;7.86;10.72;7.1;10.72;14;B+
Id_119;2013;BOLIVIA;19.41;33.29;927.48;1106.09;848.19;1013.24;92.85;126.22;0.66;0.34;12.47;31.6;2.43;3.01;8.39;8.95;8.39;14;B+
Id_007;2013;BOLIVIA;161.87;471.71;1064.07;2107.26;1897.29;1950.48;156.79;85.3;1.8;1.92;4.52;9.18;0.78;22.38;7.44;5.72;7.44;14;B+
Id_008;2013;BOLIVIA;420.98;479.78;1517.96;2627.03;2350.48;2430.45;196.58;101.53;2.23;0.46;4.15;14.83;1.14;18.26;7.48;3.32;12.88;14;B+
Id_120;2013;BOLIVIA;104.11;104.11;621.3;883.02;735.76;825.67;57.35;45.62;0.85;1.96;5.75;16.84;1.13;11.79;6.49;4.9;6.49;14;B+
Id_121;2013;BOLIVIA;1.17;10.06;13.59;27.53;12.76;13.75;13.78;1.07;0.11;0.62;3.93;1.37;0.69;36.54;50.05;7.82;50.05;16;B-
Id_122;2013;BOLIVIA;125.14;125.14;578.35;949.99;829.26;893.66;56.32;31.98;1.3;0.75;3.55;16.2;0.97;13.17;5.93;3.56;11.5;14;B+
Id_009;2013;BOLIVIA;420;464.98;1266.53;2258.74;1960.19;2094.24;164.5;82.07;1.45;0.47;3.95;14.93;1.14;20.59;7.28;3.19;11.59;14;B+
Id_123;2013;BOLIVIA;389.42;389.42;931.92;1936.25;1600.69;1742.19;194.07;71.77;1.26;0.27;3.82;14.46;1.43;20.11;10.02;4.24;11.24;14;B+
Id_010;2013;BOLIVIA;264.5;287.53;1065.21;1676.34;1335.56;1537.31;139.03;77.45;1.33;1.55;5.02;9.4;0.82;17.15;8.29;4.1;13.7;14;B+
Id_011;2013;BOLIVIA;80.43;202;397.21;718.25;637.89;668.58;49.67;49.52;0.18;0.35;2.98;0.89;0.05;28.12;6.92;3.13;6.92;15;B
Id_012;2013;BRAZIL;87.65;13649.38;23319.31;44816.89;3599.29;41783.2;3033.69;1968.99;11.59;7.03;4.08;-6.87;-0.45;30.46;6.77;2.85;14.51;9;BBB
Id_014;2013;BRAZIL;70.74;424.34;3399.78;4903.31;3300.79;4413.03;490.27;555.27;8.1;2.73;12.25;17.68;1.72;8.65;10;11.21;12.69;13;BB-
Id_015;2013;BRAZIL;34.79;275.13;8553.49;11941.92;2924.59;10498.05;1443.88;857.04;5.3;2.69;7.48;13.05;1.55;2.3;12.09;3.47;13.45;15;B
Id_126;2013;BRAZIL;3.91;167.9;4266.04;5522.01;1679.33;4959.26;562.75;235.45;1.74;1.63;4.96;3.83;0.48;3.04;10.19;4.1;11.55;13;BB-
Id_016;2013;BRAZIL;20.31;853.56;6439.93;9173.63;3991.46;8194.45;979.18;1232.31;12.6;7.25;14.46;-6.33;-0.76;9.3;10.67;9.53;13.44;12;BB
Id_018;2013;BRAZIL;313.54;4401.14;11323.01;22606.3;13021.71;20418.47;2187.82;1489.08;10.45;1.96;7.03;16.01;1.56;19.47;9.68;5.5;18.34;11;BB+
Id_134;2013;BRAZIL;0.08;7.73;405;406.45;319.91;360.74;45.71;82.59;16.08;7.58;16.25;-0.11;-0.01;1.9;11.25;11;11.25;8;BBB+
Id_021;2013;BRAZIL;1.78;105.06;1235.32;1396.08;433.98;1226.14;169.94;77.66;1.91;1.05;5.98;13.3;1.59;7.53;12.17;2.65;23.65;12;BB
Id_131;2013;BRAZIL;106.38;297.43;101.62;581.02;246.66;518.57;62.45;50.98;7.11;4.44;8.79;14.57;1.43;51.19;10.75;8.36;24.43;15;B
Id_024;2013;BRAZIL;0.01;16.6;1498;1790.42;1314.02;1387.65;402.76;197.64;4.4;3;11.6;1.3;0.3;0.9;22.5;7.4;22.5;11;BB+
Id_025;2013;BRAZIL;2330.57;40548.09;96644.7;206417.54;57019.76;179309.63;27107.91;11692.88;9.99;5.38;5.89;3.68;0.51;19.64;13.13;5.03;19.2;9;BBB
Id_026;2013;BRAZIL;5181.54;136454.46;137250.91;385818.38;92643;355422.76;30395.62;16338.3;7.85;4.39;4.3;17.03;1.36;35.37;7.88;3.53;16.6;9;BBB
Id_027;2013;BRAZIL;5497.66;198940.86;121425.18;412443.5;120544.65;395027.91;17415.58;15575.07;10;4.16;3.88;30.59;1.26;48.23;4.22;3.31;16.6;9;BBB
Id_028;2013;BRAZIL;4877.39;79508.62;209974.13;364655.15;153271.22;349626.94;15028.21;11904.11;7.2;2.06;3.59;24.35;0.85;21.8;4.12;3.66;15.13;9;BBB
Id_030;2013;BRAZIL;7042.23;151432.07;175135.95;469760.09;116756.27;434528.55;35231.54;17018.91;8.06;2.19;3.78;20.2;1.5;32.24;7.5;3.31;16.6;8;BBB+
