Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_079;2013;PANAMA;120.8;1545.7;5593.7;8062;5663.5;7397.8;664.2;264.1;2.94;0.73;2.98;2.71;0.22;19.17;10.06;2.52;13.9;6;A
Id_080;2013;PANAMA;28;307.2;2126;3102.3;2009.7;2871.6;230.7;95.6;0.87;0.47;3.37;18.99;1.39;9.9;9.8;2.7;15.92;11;BB+
Id_081;2013;PANAMA;326.1;3032.5;3244.2;8635.2;7764.5;8042.4;592.8;171.1;1.43;-0.03;2.09;19.39;1.48;35.12;6.86;1.47;6.86;9;BBB
Id_085;2013;PARAGUAY;506.92;665.6;1740.17;2649.16;1967.65;2499.19;149.97;97.72;2.44;1.06;4.17;24.01;1.42;25.13;7.75;4.41;7.75;14;B+
Id_086;2013;PARAGUAY;447.13;566.33;1890.47;2933.36;2616.93;2646.6;286.75;110.53;1.21;1.06;4.17;28.11;2.7;19.31;9.78;2.73;12.4;14;B+
Id_089;2013;PERU;6851.77;8109.62;22311.7;35042.29;26528.55;32104.01;2938.28;1637.42;2.3;2.15;4.86;21.85;1.74;23.14;8.38;3.66;14.46;9;BBB
Id_090;2013;PERU;4068.48;4692.2;10160.18;15611.63;11905.97;13808.26;1803.36;893.74;2.59;3.1;6.43;18.23;2.18;30.06;11.55;3.56;13.56;8;BBB+
Id_091;2013;PERU;3943.29;4438.68;14334.63;20228.41;13364.76;18478.57;1749.84;900.14;1.72;1.42;4.74;29.96;2.45;21.94;8.65;2.56;12.43;8;BBB+
Id_092;2013;PERU;2461.5;2540.68;7076.35;10625.69;7286.44;9676.99;948.69;638.35;1.75;2.07;6.7;26.32;2.4;23.91;8.93;4.4;13.39;10;BBB-
Id_093;2013;PERU;606.76;137.03;2033.27;2728.98;1936.31;2492.06;236.92;125.08;1.13;1.17;5.14;19.04;1.56;5.02;8.68;3.37;13.88;10;BBB-
Id_097;2013;URUGUAY;1011.74;1853.92;1885.81;3869.51;3244.3;3560.68;308.84;127.93;0.21;0.33;3.98;31.52;2.3;47.91;7.98;4.35;7.98;10;BBB-
Id_098;2013;URUGUAY;68.34;118.54;1594.63;1597.46;686.67;865.02;732.44;169.63;4.25;-1.31;11.65;11.35;5.31;7.42;45.85;6.63;45.85;10;BBB-
Id_100;2013;URUGUAY;3346.04;7034.64;5345.9;14299.09;12733.08;13081.82;1217.27;669.71;1.65;1.06;5.07;24.55;2.24;49.2;8.51;4.29;8.51;10;BBB-
Id_124;2013;URUGUAY;120.95;247.79;158.76;437.17;374.4;391.35;45.81;14.89;0.51;-3.42;3.88;3.24;0.4;56.68;10.48;11.18;10.48;16;B-
Id_101;2013;URUGUAY;1119.75;2289.71;2464.38;5288.95;4388.67;4897.53;391.43;200.32;0.33;0.48;4.06;9.93;0.81;43.29;7.4;4.1;7.4;10;BBB-
Id_001;2013;PANAMA;34.2;493.8;2944.5;3811.1;2634.9;3503.7;307.4;108;1.53;0.31;3;25.49;1.97;12.96;8.07;1.98;14.79;11;BB+
Id_128;2012;ARGENTINA;8.19;44.37;116.05;195.75;166.86;183.69;12.07;12.39;1.78;1.38;6.88;3.05;0.19;22.66;6.16;9.03;6.16;17;CCC+
Id_002;2012;ARGENTINA;1002.2;1020.09;3662.28;5342.47;3253.61;4614.96;727.51;432.06;1.11;1.59;14.84;24.03;3.95;19.09;13.62;9.56;13.62;17;CCC+
Id_129;2012;BOLIVIA;16.56;60.59;511.68;660.07;538.86;589.67;70.41;56.35;0.73;1.18;9.03;10.75;1.19;9.18;10.67;7.79;10.67;14;B+
Id_119;2012;BOLIVIA;18.7;132.74;732.97;918.36;729.54;847.81;70.55;102.43;0.61;1.19;12.37;29.12;2.12;14.45;7.68;8.61;7.68;14;B+
Id_007;2012;BOLIVIA;125.25;576.58;758.03;1670.75;1483.36;1527.8;142.95;55.73;2.05;0.72;3.78;36.58;2.25;34.51;8.56;5.87;8.56;14;B+
Id_008;2012;BOLIVIA;418.9;479.96;1306.98;2271.74;2033.43;2091.74;180;90.23;2.51;0.26;4.19;15.61;1.25;21.13;7.92;3.01;11.77;14;B+
Id_120;2012;BOLIVIA;136.05;136.05;507.76;702.63;597.02;653.27;49.36;33.05;0.8;8.13;5.09;8.92;0.66;19.36;7.03;4.47;7.03;14;B+
Id_121;2012;BOLIVIA;1.45;7.6;14.49;26.93;12.56;13.34;13.59;1.04;0.2;0.8;4.13;2.16;1.21;28.21;50.46;6.49;50.46;16;B-
Id_122;2012;BOLIVIA;191.42;191.42;465.24;850;751.79;798.39;51.61;27.64;1.23;0.79;3.59;18.62;1.16;22.52;6.07;3.2;11.09;14;B+
Id_009;2012;BOLIVIA;332.69;355.64;1088.76;1898.81;1681.79;1746.44;152.37;69.86;0.86;0.12;3.86;17.98;1.41;18.73;8.02;2.97;11.27;14;B+
Id_123;2012;BOLIVIA;346.64;346.64;844.08;1818.9;1546.48;1640.55;178.35;61.87;1.14;0.07;3.71;14.46;1.49;19.06;9.81;3.79;11.21;14;B+
Id_010;2012;BOLIVIA;185.46;211.27;900.45;1409.23;1210.45;1279.78;129.45;68.08;1.23;1.28;5.23;17.78;1.63;14.99;9.19;3.75;12.7;14;B+
Id_012;2012;BRAZIL;75.72;19393.89;27700.63;59445.39;7544.94;55437;4008.4;2203.1;10.7;8.96;3.85;-24.46;-1.7;32.62;6.74;2.9;14.3;9;BBB
Id_014;2012;BRAZIL;55.7;390.13;3115.85;4786.9;3293.71;4314.31;472.59;579.26;8.28;2.3;12.85;24.58;2.43;8.15;9.87;10.83;13.39;13;BB-
Id_015;2012;BRAZIL;20.41;749.21;8780.84;12618.85;3915.05;11180.05;1438.8;311.14;6.14;4.98;2.96;-17.67;-2.7;5.94;11.4;4.27;11.85;15;B
Id_126;2012;BRAZIL;0.59;257.92;3067.37;4573.94;1708.78;3922.08;651.86;243.91;3.02;3.21;6.36;3.68;0.61;5.64;14.25;4.36;13.09;13;BB-
Id_016;2012;BRAZIL;17.97;994.09;6135.38;9045.94;3303.52;7830.64;1215.3;998.44;15.51;13.24;12.86;-26.68;-3.12;10.99;13.43;9.66;11.68;12;BB
Id_018;2012;BRAZIL;395.01;4117.51;11876.73;22736.27;13062.1;20345.99;2390.27;1744.32;10.48;3.11;8.49;17.62;1.95;18.11;10.51;5.77;18.67;11;BB+
Id_134;2012;BRAZIL;0.24;164.62;546.45;700.83;553.63;648.34;52.48;104.18;16.38;10.44;15.72;-173.2;-10.57;23.49;7.49;8.07;11.96;8;BBB+
Id_021;2012;BRAZIL;3.08;131.62;1210.47;1379.88;626.76;1207.39;172.48;87.1;1.93;1.98;7.52;14.43;2.11;9.54;12.5;3.03;15.81;11;BB+
Id_131;2012;BRAZIL;91.49;274.23;87.63;665.38;290.29;598.79;66.59;80.65;10.81;8.12;12.02;24.41;2.14;41.21;10.01;7.48;28.37;14;B+
Id_136;2012;BRAZIL;0.1;47.99;77.87;131.43;30.56;97.5;33.93;9.03;1.5;0.81;5.47;7.7;1.57;36.52;25.82;3.15;24.5;12;BB
Id_024;2012;BRAZIL;0.15;105.11;1457.79;1850.31;1335.45;1393.59;456.72;195.33;5.5;2.1;11;6.4;1.6;5.7;24.7;6.1;15.8;11;BB+
Id_025;2012;BRAZIL;2315.33;34078.85;103480.3;219145.44;62767.03;187763.17;31382.27;15117.56;10.4;6.47;7.1;4.37;0.65;15.55;14.32;5.16;20.82;9;BBB
Id_026;2012;BRAZIL;5896.11;180142.51;142049.7;429181.37;103430.89;394696.38;34484.99;23282.87;8.53;4.98;5.81;18.05;1.4;41.97;8.04;3.65;16.14;9;BBB
Id_027;2012;BRAZIL;5489.14;227793.05;129574.72;447555.05;118649.37;428069.81;19485.23;21209.34;13;6.9;5.18;22;1.41;50.9;4.35;3.99;16.7;9;BBB
Id_028;2012;BRAZIL;3923.25;86888.64;176360.59;343160.18;155765.42;330927.06;12233.12;11413.07;8.07;2.19;3.85;27.19;1;25.32;3.56;4.14;12.99;9;BBB
Id_030;2012;BRAZIL;6818.87;169848.9;178823.85;495252.01;118820.29;458576.53;36675.49;24652.69;10;5.44;5.41;19.04;1.52;34.3;7.41;3.52;16.7;8;BBB+
Id_137;2012;BRAZIL;1.37;57.71;105.8;250.6;119.03;220.38;30.22;5.71;3.69;2.41;1.94;-7.98;-0.91;23.03;12.06;8.45;12.06;15;B
Id_032;2012;CHILE;2612.65;4610.3;39440.2;51737.62;32428.41;47203.72;4533.9;2178.72;3.17;2.02;4.22;18.86;1.57;8.91;8.76;2.42;13.72;5;A+
Id_033;2012;CHILE;1086.98;2732.11;21229.83;28266.24;20402.99;26184.51;2081.73;536.72;1.02;0.6;2.29;13.4;0.99;9.67;7.36;2.1;11.05;8;BBB+
Id_034;2012;CHILE;1431.1;5542.59;39201.35;48602.31;33833.27;44408.71;4193.6;1990.89;0.97;1.04;4.23;25.46;2.08;11.4;8.63;2.83;13.22;5;A+
Id_035;2012;CHILE;3049.77;6896.46;27261.8;37600.35;26956.53;34633.45;2966.9;1243.59;1.91;1.11;3.48;20.75;1.62;18.34;7.89;2.68;13.6;6;A
Id_135;2012;CHILE;394.84;533.55;550.02;2040.82;1509.37;1860.14;180.68;22.9;0.01;0.52;0.97;0.96;0.07;26.14;8.85;1.37;20.47;6;A
Id_037;2012;CHILE;552.12;1305.36;6282.16;8733.58;6129.96;8141.04;592.55;141.74;1.34;0.58;1.68;12.93;0.87;14.95;6.78;2.22;11.92;10;BBB-
Id_049;2012;COSTA_RICA;1115.24;279.61;5076.88;7969.61;6678.4;7144.95;824.66;369.85;2.5;1.14;4.92;10.96;1.14;3.51;10.35;4.41;10.35;11;BB+
Id_051;2012;COSTA_RICA;837.68;331.79;5219.13;7521.35;5152.31;6789.32;732.03;304.76;1.38;0.63;4.35;10.13;1.02;4.41;9.73;4.3;12.72;11;BB+
Id_053;2012;ECUADOR;763;847.4;1375.5;2952.7;2503.6;2708;244.7;112;1.6;1.68;4.06;18.91;1.5;28.7;8.29;4.61;12.87;16;B-
Id_054;2012;ECUADOR;1907.5;2354.5;7441.4;11467.5;8820.3;10577.2;890.3;730.8;3.21;3.8;6.76;7.34;0.57;20.53;7.76;6.66;11.2;16;B-
Id_056;2012;EL_SALVADOR;92.11;504.7;2676.9;3779.83;2628.29;3233.2;546.63;182.67;2.05;1.64;4.97;16.95;2.42;13.35;14.46;2.78;17.95;10;BBB-
Id_057;2012;EL_SALVADOR;38.8;16.9;1276.8;1847.4;1285.8;1581.3;266.1;79.1;4.19;1.74;4.36;6.25;0.89;-0.91;14.4;3.76;18.66;10;BBB-
Id_117;2012;MEXICO;22.06;94.16;1050.34;1106.06;923.51;946.57;159.49;144.89;14.97;14.96;13.88;9.22;1.35;8.51;14.42;14.04;13.08;15;B
Id_127;2012;MEXICO;112.37;3074;4299.28;7823.77;3070.84;7366.05;457.72;117.37;0.65;1.55;1.63;16.95;1.01;39.29;6.17;1.82;6.17;13;BB-
Id_062;2012;MEXICO;126.75;347.58;56.57;17390.72;411.45;17192.03;198.69;6.23;0;0;0.04;2.61;0.03;2;1.14;0.26;22.48;9;BBB
Id_063;2012;MEXICO;1674.31;16161.98;26954.67;57484.11;28494.02;50095.39;7388.72;2596.6;1.74;2.84;4.54;18.56;2.24;28.12;12.85;2.51;14.78;8;BBB+
Id_064;2012;MEXICO;2869.92;27259.05;51026.05;97132.15;48367.35;88118.46;9013.69;5346.31;3.27;3.44;5.6;19.91;1.85;28.06;11.89;3.34;15.84;8;BBB+
Id_065;2012;MEXICO;3509.89;17475.12;34165.46;83978.06;38838.75;73988.67;9989.39;4438.71;1.88;4.37;5.24;9.62;1.16;20.81;11.9;3.93;15.04;8;BBB+
Id_066;2012;MEXICO;1167.55;9804.38;30847.57;55461.76;32442.03;50617.06;4844.7;2350.56;2.04;1.85;4.5;16.16;1.38;17.68;8.74;3.56;14.75;9;BBB
Id_067;2012;MEXICO;1383.08;5180.67;15294.19;37314.09;22567.77;34025.33;3288.75;1554.95;2.02;2.86;4.16;9.81;0.83;13.88;9.64;4.61;14.21;8;BBB+
Id_069;2012;MEXICO;322.15;1380.6;6457.48;8251.47;4649.03;7436.08;815.4;311.23;2.51;0.82;4.02;7.93;0.82;16.73;9.88;3.16;13.4;11;BB+
Id_070;2012;MEXICO;52.11;822.67;1290.84;2892.45;1459.1;2737.41;155.03;48.42;3.44;0.88;1.66;6.4;0.3;28.44;5.36;2.45;13.79;13;BB-
Id_071;2012;MEXICO;450.65;2901.9;9798;17171.43;10568.48;14890.51;2280.92;799.76;2.25;1.2;5.19;13.43;1.95;16.9;13.28;5.32;15.77;8;BBB+
Id_072;2012;MEXICO;0.23;675.32;921.51;1868.55;764.02;1755.17;113.37;48.65;1.31;0.77;3.11;8.06;0.54;36.14;6.07;2.35;17.9;13;BB-
Id_073;2012;MEXICO;1111.44;1946.95;351.8;3337.87;541.43;3017.27;320.6;28.59;0.83;0.89;0.97;23.62;2.16;58.33;9.6;6.1;20.38;11;BB+
Id_076;2012;PANAMA;179.2;1137.7;7081.9;10805.2;7820;9492;1313.2;388.2;0.5;0.2;3.83;20.84;2.62;10.53;12.15;1.85;18.86;9;BBB
Id_078;2012;PANAMA;1.09;190.79;1198.14;1488.2;694.39;1332.37;155.83;38.6;0.8;0.55;2.7;10.99;1.17;12.82;10.47;1.87;12.29;11;BB+
Id_079;2012;PANAMA;159.6;1794.8;5676.8;9634.6;6301.5;8859.6;775;272.1;2.87;0.61;2.34;4.3;0.45;18.63;8.04;1.48;11.5;6;A
Id_080;2012;PANAMA;35.7;260;1812.6;2570.8;1779.9;2373.3;197.5;73.1;0.9;0.67;3.14;18.94;1.47;10.11;10.54;2.94;16.38;11;BB+
Id_081;2012;PANAMA;229.3;2729.8;2969.9;7718.6;6687.5;7073.8;644.8;152.3;1.32;-0.38;2.08;22.16;1.94;35.37;8.35;1.52;8.35;9;BBB
Id_086;2012;PARAGUAY;451.11;564.57;1604.03;2493.57;2229.75;2261.49;232.08;102.54;1.12;1.23;4.59;32.81;3.03;22.64;9.31;2.87;14.1;15;B
Id_089;2012;PERU;7268.24;7863.88;20746.51;35449.88;26469.02;32600.43;2849.45;1537.61;1.79;2.04;4.83;22.53;1.84;22.18;8.38;3.79;14.72;9;BBB
Id_090;2012;PERU;2956.82;3065.53;9315.73;13350.82;9880.9;11536.12;1814.71;942.51;2.31;3.21;7.26;19.29;2.47;22.96;13.59;3.94;15.64;9;BBB
Id_091;2012;PERU;4753.76;5033.02;13033.41;19486.59;12924.24;17828.43;1658.16;816.55;1.2;1.4;4.53;33.29;2.66;25.83;8.51;2.53;12.43;8;BBB+
Id_092;2012;PERU;2097.92;2184.12;6173.14;9231.1;5743.25;8299.96;931.14;659.69;1.85;2.71;7.73;27.42;2.6;23.66;10.09;4.95;13.28;10;BBB-
Id_097;2012;URUGUAY;493.72;1551.77;1252.33;2825.34;2545.79;2642.68;182.66;110.24;0.07;-0.67;4.21;26.2;1.61;54.92;6.47;4.47;6.47;10;BBB-
Id_098;2012;URUGUAY;175.85;183.14;1508.38;1448.89;653.17;727.32;721.57;126.34;6.16;-3.43;8.99;9.58;4.66;12.64;49.8;6.69;49.8;10;BBB-
Id_100;2012;URUGUAY;1180.04;6587.55;4696.61;13384.53;11698.68;12126.77;1257.77;694.55;2.08;1.74;5.42;15.81;1.52;49.22;9.4;4.08;9.4;10;BBB-
Id_124;2012;URUGUAY;30.19;156.85;170.41;365.13;298.11;315.95;49.18;14.19;0.53;-1.11;4.12;-33.63;-4.74;42.96;13.47;12.78;13.47;15;B
Id_101;2012;URUGUAY;1454.2;2377.67;2158.45;5051.52;3974.99;4603.1;448.41;164.82;0.44;-0.33;3.4;9.35;0.82;47.07;8.88;4.49;8.88;10;BBB-
Id_001;2012;PANAMA;37.5;375.6;2514.4;3382;2295.4;3147;235;102.6;1.64;0.68;3.26;24.78;1.59;11.11;7.24;1.96;15.03;11;BB+
Id_128;2011;ARGENTINA;8.26;38.87;104.34;187.79;143.16;172.88;14.92;13.75;3.24;0.77;8.1;5.45;0.42;20.7;7.94;8.14;7.94;17;CCC+
Id_129;2011;BOLIVIA;51.39;51.39;455.64;588.47;446.74;520.54;67.93;50.56;0.38;0.35;8.88;17.2;1.93;8.73;11.54;7.52;11.54;15;B
Id_119;2011;BOLIVIA;18.65;68.57;581.32;737.32;604.79;684.05;53.27;81.56;0.77;2.5;12.14;29.11;2.11;9.3;7.22;8.48;7.22;15;B
Id_012;2011;BRAZIL;100.87;14866.58;31593.61;60493.11;13785.61;56166.99;4326.12;2648.64;8.99;5.48;4.47;-2.45;-0.18;24.58;7.15;3.1;14.12;9;BBB
Id_014;2011;BRAZIL;55.3;520.82;2625.35;4662.2;3445.83;4203.25;458.95;581.24;9.9;5.41;13.18;12.76;1.29;11.17;9.84;9.94;13.47;13;BB-
Id_015;2011;BRAZIL;18.35;831.29;5967.34;9248.22;4737.09;7302.02;1946.2;1217.29;7.9;4.29;15.81;19.6;4.08;8.99;21.04;10.94;14.48;13;BB-
Id_126;2011;BRAZIL;3.6;141.65;1944.8;3414.89;1520.17;2698.78;716.11;293.68;2.95;1.98;8.03;18.94;3.39;4.15;20.97;4.7;13.9;13;BB-
Id_016;2011;BRAZIL;13.88;850.98;4689.1;7139.82;2977.14;6479.56;660.26;1052.83;17.19;12.53;14.8;10.72;0.51;11.92;9.25;12.06;10.23;12;BB
Id_134;2011;BRAZIL;0.11;36.69;599.9;688.45;524.32;639.82;48.63;86.94;10.01;6.33;15.23;-62.21;-5.04;5.33;7.06;11.59;16.64;8;BBB+
Id_117;2011;MEXICO;16.65;73.19;842.29;913.13;749.01;777.96;135.16;84.13;11.01;15.8;9.6;12.32;1.91;8.02;14.8;13.79;13.08;15;B
Id_127;2011;MEXICO;99.71;2536.38;3123.71;6096.82;1962.42;5722.5;374.33;98.42;0.84;1.62;1.72;23.43;1.38;41.6;6.84;2.63;16.16;12;BB
