Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_073;2020;MEXICO;1.319,80;4.955,49;1.316,22;7.758,92;2.180,44;7.366,12;392,79;106,67;1,86;3,55;1,54;12,99;0,68;63,87;5,06;2,86;16,00;11;BB+
Id_074;2020;PANAMA;0,25;94,10;732,88;945,92;340,41;868,10;77,83;14,24;1,50;0,57;1,57;4,39;0,36;9,95;8,23;1,90;12,57;11;BB+
Id_075;2020;PANAMA;0,04;8,15;16,92;33,52;16,87;23,92;9,60;0,34;0,00;0,00;1,05;88,51;19,26;24,31;28,64;27,33;16,85;10;BBB-
Id_076;2020;PANAMA;157,10;1.951,20;11.560,30;18.616,80;13.551,90;15.983,60;2.633,20;635,20;4,02;2,38;3,40;12,48;1,69;10,48;14,14;1,52;20,74;9;BBB
Id_077;2020;PANAMA;708,70;5.929,00;17.174,60;26.623,90;20.310,70;24.114,70;2.509,20;1.254,80;4,22;2,61;4,96;11,66;1,25;22,27;9,42;4,64;12,79;11;BB+
Id_078;2020;PANAMA;1,28;247,68;1.488,19;1.859,88;917,00;1.620,64;239,24;38,01;4,11;0,50;1,98;1,26;0,16;13,32;12,86;1,57;12,76;13;BB-
Id_079;2020;PANAMA;202,90;1.119,50;7.764,40;10.261,70;7.095,40;9.172,70;1.089,00;309,50;8,08;3,12;3,04;-4,08;-0,45;10,91;10,61;1,85;13,09;10;BBB-
Id_080;2020;PANAMA;20,60;247,60;3.224,70;4.878,90;3.051,30;4.458,40;420,50;90,90;4,10;2,10;1,89;-5,21;-0,47;5,07;8,78;1,78;14,72;11;BB+
Id_081;2020;PANAMA;299,70;8.551,30;4.998,40;16.872,90;13.989,00;15.910,70;962,20;260,10;1,72;0,98;1,88;13,12;0,93;50,68;5,70;1,13;17,53;9;BBB
Id_082;2020;PANAMA;0,00;226,06;234,46;818,59;755,59;763,37;55,22;9,40;0,52;0,21;1,07;19,43;1,01;27,62;6,75;0,58;6,75;10;BBB-
Id_083;2020;PARAGUAY;158,50;266,45;837,93;1.195,95;999,49;1.087,11;108,84;37,13;1,70;0,83;3,37;18,66;1,63;22,28;9,10;2,56;9,10;12;BB
Id_084;2020;PARAGUAY;191,65;151,93;834,37;1.166,68;1.026,02;1.071,92;94,75;76,48;3,40;4,50;6,82;4,93;0,40;13,02;8,12;5,65;8,12;15;B
Id_085;2020;PARAGUAY;581,93;507,35;1.777,35;2.538,27;1.703,65;2.313,75;224,53;71,90;1,49;1,54;2,85;4,80;0,41;19,99;10,27;2,25;10,27;12;BB
Id_086;2020;PARAGUAY;675,39;1.050,70;2.085,47;3.659,05;2.404,49;3.173,28;485,76;98,43;1,95;0,75;2,92;12,27;1,71;28,72;13,28;2,19;13,28;11;BB+
Id_087;2020;PERU;480,55;402,82;3.594,48;4.316,30;2.392,21;3.671,74;644,56;460,86;7,06;6,12;11,60;-1,69;-0,25;9,33;14,93;7,23;19,82;8;BBB+
Id_088;2020;PERU;7.147,51;7.074,42;2.336,10;12.234,12;9.579,45;11.578,31;655,80;358,26;1,97;0,67;3,36;26,78;1,77;57,83;5,36;2,83;15,12;7;A-
Id_089;2020;PERU;9.126,33;4.120,44;34.772,35;53.920,61;35.075,14;48.687,62;5.232,98;2.168,26;3,61;4,35;4,54;4,33;0,46;7,64;9,70;2,94;14,93;8;BBB+
Id_090;2020;PERU;4.834,61;5.223,18;15.242,73;22.100,58;13.176,05;19.332,21;2.768,37;1.140,94;6,45;5,20;5,28;2,49;0,31;23,63;12,53;2,51;17,87;7;A-
Id_091;2020;PERU;6.893,45;7.713,87;19.616,82;29.651,19;19.927,57;27.065,03;2.586,16;896,19;3,22;2,69;3,43;6,98;0,68;26,02;8,72;2,16;13,68;8;BBB+
Id_092;2020;PERU;4.491,10;3.114,50;11.563,48;18.735,94;12.090,64;17.027,82;1.708,12;795,91;3,37;5,10;4,80;4,35;0,44;16,62;9,12;2,46;16,99;8;BBB+
Id_093;2020;PERU;993,18;1.168,15;3.360,39;5.077,85;3.565,97;4.718,73;359,12;152,15;3,16;3,15;3,31;5,07;0,37;23,00;7,07;1,86;14,01;10;BBB-
Id_094;2020;PUERTO_RICO;63,45;2.096,04;6.706,07;9.776,82;8.655,91;8.712,14;1.064,67;420,83;4,23;1,39;4,42;7,22;0,76;21,44;10,89;3,38;15,32;13;BB-
Id_095;2020;PUERTO_RICO;280,99;330,68;430,17;826,28;661,00;701,74;124,54;2,32;3,30;1,00;0,30;-3,60;-0,60;40,00;15,10;0,40;15,10;10;BBB-
Id_096;2020;URUGUAY;1,94;2,60;13,84;22,83;14,84;17,33;5,50;3,17;0,00;0,33;14,66;-2,76;-0,66;11,39;24,09;16,49;24,09;15;B
Id_097;2020;URUGUAY;1.096,06;2.120,36;2.183,22;5.331,14;4.392,99;4.866,98;464,16;166,72;1,55;-0,08;3,53;21,56;2,06;39,77;8,71;2,81;11,58;10;BBB-
Id_098;2020;URUGUAY;1,73;12,20;1.367,92;1.755,87;493,12;917,16;838,71;129,30;1,64;-0,15;7,69;8,25;3,89;0,69;47,77;3,10;47,77;9;BBB
